# 卷253 LLM 人名校补（in-session, 乾符四~五年 王仙芝黄巢之乱 / 李克用起代北）
# 格式：姓名<TAB>置信度<TAB>证据片段
鲁寔	high	王郢诱鲁寔入舟中执之
王葆	high	刺史王葆退守唐兴
朱实	high	密招其党朱实降之，敕以实为金吾将军
柳彦璋	high	贼帅柳彦璋剽掠江西
薛坚石	high	桂管支使薛坚石屡规正之
牛从珪	high	诏高品牛从珪往慰论之
穆仁裕	high	宣武节度使穆仁裕遣人约还
窦璟	high	以京兆尹窦璟为河中宣慰制置使
归仁绍	high	诏侍御史归仁绍等鞫之
柳汉璋	high	执文楚及判官柳汉璋系狱
陈韬	high	执文楚及判官柳汉璋、陈韬等系之于狱
薛铁山	high	君立与薛铁山、程怀信、王行审等谋
王行审	high	君立与薛铁山、程怀信、王行审、李存璋等
窦澣	high	窦澣遣康传圭率土团二千屯代州
邓虔	high	求赏呼噪，杀马步军使邓虔
蔡温玉	high	仙芝令其大将尚君长、蔡温玉奉表入朝
楚彦威	high	尚君长、蔡温玉、楚彦威相次诣阙请罪
徐唐莒	high	又遣将徐唐莒陷洪州
吴彦宏	high	复光遣判官吴彦宏谕以朝旨
李峄	high	诏滑州节度使李峄壁原武
郑延休	high	河阳节度使郑延休兵三千壁河阴
康叔谭	high	副将康叔谭恃酒叛逆
阎建弘	high	斫损将判官阎建弘擒缚入府
杨严	high	兵部侍郎判度支杨严三表自陈
